2021-12-13 09:42:07.713 [main] INFO  Main - Start parse into src/main/Data: https://www.moscowmap.ru/metro.html#lines
2021-12-13 09:42:08.630 [main] ERROR Main - src\main\Data\MoscowMetro.json: [java.base/sun.nio.fs.WindowsException.translateToIOException(WindowsException.java:87), java.base/sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:103), java.base/sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:108), java.base/sun.nio.fs.WindowsFileSystemProvider.newByteChannel(WindowsFileSystemProvider.java:236), java.base/java.nio.file.Files.newByteChannel(Files.java:380), java.base/java.nio.file.Files.createFile(Files.java:658), Main.parseHTML(Main.java:39), Main.main(Main.java:28)]
2021-12-13 09:42:23.733 [main] INFO  Main - Start parse into src/main/Data: https://www.moscowmap.ru/metro.html#lines
2021-12-13 09:42:24.619 [main] ERROR Main - src\main\Data\MoscowMetro.json: [java.base/sun.nio.fs.WindowsException.translateToIOException(WindowsException.java:87), java.base/sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:103), java.base/sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:108), java.base/sun.nio.fs.WindowsFileSystemProvider.newByteChannel(WindowsFileSystemProvider.java:236), java.base/java.nio.file.Files.newByteChannel(Files.java:380), java.base/java.nio.file.Files.createFile(Files.java:658), Main.parseHTML(Main.java:39), Main.main(Main.java:28)]
2021-12-13 09:42:41.020 [main] INFO  Main - Start parse into src/main/Data: https://www.moscowmap.ru/metro.html#lines
2021-12-13 09:43:58.563 [main] INFO  Main - Start parse into src/main/Data: https://www.moscowmap.ru/metro.html#lines
2021-12-13 09:45:47.535 [main] ERROR Main - src\main\Data\MoscowMetro.json: [java.base/sun.nio.fs.WindowsException.translateToIOException(WindowsException.java:87), java.base/sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:103), java.base/sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:108), java.base/sun.nio.fs.WindowsFileSystemProvider.newByteChannel(WindowsFileSystemProvider.java:236), java.base/java.nio.file.Files.newByteChannel(Files.java:380), java.base/java.nio.file.Files.createFile(Files.java:658), Main.parseHTML(Main.java:39), Main.main(Main.java:28)]
2021-12-13 09:46:05.677 [main] INFO  Main - Start parse into src/main/Data: https://www.moscowmap.ru/metro.html#lines
2021-12-13 09:46:07.543 [main] INFO  MetroParser - Линия №1 - Сокольническая линия
2021-12-13 09:46:07.543 [main] INFO  MetroParser - Линия №2 - Замоскворецкая линия
2021-12-13 09:46:07.543 [main] INFO  MetroParser - Линия №3 - Арбатско-Покровская линия
2021-12-13 09:46:07.559 [main] INFO  MetroParser - Линия №4 - Филевская линия
2021-12-13 09:46:07.559 [main] INFO  MetroParser - Линия №5 - Кольцевая линия
2021-12-13 09:46:07.559 [main] INFO  MetroParser - Линия №6 - Калужско-Рижская линия
2021-12-13 09:46:07.559 [main] INFO  MetroParser - Линия №7 - Таганско-Краснопресненская линия
2021-12-13 09:46:07.559 [main] INFO  MetroParser - Линия №8 - Калининско-Солнцевская линия
2021-12-13 09:46:07.559 [main] INFO  MetroParser - Линия №9 - Серпуховско-Тимирязевская линия
2021-12-13 09:46:07.559 [main] INFO  MetroParser - Линия №10 - Люблинско-Дмитровская линия
2021-12-13 09:46:07.559 [main] INFO  MetroParser - Линия №11 - Большая Кольцевая Линия
2021-12-13 09:46:07.559 [main] INFO  MetroParser - Линия №12 - Бутовская линия
